dataset_version,subset,file_path,file_name,file_size_bytes,row_count,columns,label_distribution,attack_type_distribution,min_timestamp,max_timestamp,can_id_count,payload_column_format,hash_md5
can-train-and-test,train_01,data/raw/can-train-and-test/set_04/train_01/accessory-3.csv,accessory-3.csv,1262428,31991,timestamp;arbitration_id;data_field;attack,"{""0"": 31991}","{""accessory"": 0}",1672531200.0,1672531396.545752,13,hex_string_no_spaces,ca84d7d0ccc58528a1ba5f13fc9cde86
can-train-and-test,train_01,data/raw/can-train-and-test/set_04/train_01/accessory-4.csv,accessory-4.csv,2113444,52783,timestamp;arbitration_id;data_field;attack,"{""0"": 52783}","{""accessory"": 0}",1672531200.0,1672531247.980916,48,hex_string_no_spaces,25fe1a495f3f0c4ec8a282d6901f7c17
can-train-and-test,train_01,data/raw/can-train-and-test/set_04/train_01/attack-free-3.csv,attack-free-3.csv,36838630,920346,timestamp;arbitration_id;data_field;attack,"{""0"": 920346}","{""attack-free"": 0}",1672531200.0,1672531772.020259,54,hex_string_no_spaces,cb59108eab79c0e66e8662dee94346db
can-train-and-test,train_01,data/raw/can-train-and-test/set_04/train_01/attack-free-4.csv,attack-free-4.csv,13555370,336011,timestamp;arbitration_id;data_field;attack,"{""0"": 336011}","{""attack-free"": 0}",1672531200.0,1672531408.2490551,54,hex_string_no_spaces,ad5a84a6f1b03f61b4bd106e82c22ad5
can-train-and-test,train_01,data/raw/can-train-and-test/set_04/train_01/interval-3.csv,interval-3.csv,15924892,393679,timestamp;arbitration_id;data_field;attack,"{""0"": 392891, ""1"": 788}","{""interval"": 788}",1672531200.0,1672531443.4882102,54,hex_string_no_spaces,8ad9bac4e6833ce4d961562d16503390
can-train-and-test,train_01,data/raw/can-train-and-test/set_04/train_01/interval-4.csv,interval-4.csv,36715373,907454,timestamp;arbitration_id;data_field;attack,"{""0"": 907204, ""1"": 250}","{""interval"": 250}",1672531200.0,1672531781.009799,54,hex_string_no_spaces,3afcedd4d9096a902911f301807f0a1c
can-train-and-test,train_01,data/raw/can-train-and-test/set_04/train_01/rpm-3.csv,rpm-3.csv,27688947,689308,timestamp;arbitration_id;data_field;attack,"{""0"": 688742, ""1"": 566}","{""rpm"": 566}",1672531200.0,1672531626.861337,54,hex_string_no_spaces,59361a3b2eb57a85b962cc3ba9cecbd3
can-train-and-test,train_01,data/raw/can-train-and-test/set_04/train_01/rpm-4.csv,rpm-4.csv,25863545,642822,timestamp;arbitration_id;data_field;attack,"{""0"": 641942, ""1"": 880}","{""rpm"": 880}",1672531200.0,1672531597.852292,54,hex_string_no_spaces,52f8575c52adab4c74a9826d27693e7d
can-train-and-test,train_01,data/raw/can-train-and-test/set_04/train_01/rpm-accessory-3.csv,rpm-accessory-3.csv,6347809,157883,timestamp;arbitration_id;data_field;attack,"{""0"": 157654, ""1"": 229}","{""rpm-accessory"": 229}",1672531200.0,1672531297.718169,50,hex_string_no_spaces,0626d2a12ce39a05020aa5f18ad817aa
can-train-and-test,train_01,data/raw/can-train-and-test/set_04/train_01/rpm-accessory-4.csv,rpm-accessory-4.csv,7094561,175015,timestamp;arbitration_id;data_field;attack,"{""0"": 166722, ""1"": 8293}","{""rpm-accessory"": 8293}",1672531200.0,1672531303.331877,54,hex_string_no_spaces,b5bc254fd81ebb9de035b8cfb28631d1
