dataset,model,sample_id,label,attack_type,vehicle,embedding_path,tsne_x,tsne_y
road,cmf_can,249501,1,spoof,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,-38.87604904174805,-28.15852165222168
road,cmf_can,232729,0,normal,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,-8.723264694213867,-48.71256637573242
road,cmf_can,247121,1,spoof,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,36.175167083740234,-27.40199089050293
road,cmf_can,269059,1,spoof,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,-54.85551834106445,-14.642187118530273
road,cmf_can,60331,0,normal,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,4.241358280181885,-27.827924728393555
road,cmf_can,120343,0,normal,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,33.59659957885742,-35.701377868652344
road,cmf_can,232628,0,normal,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,-4.109254837036133,-43.6115608215332
road,cmf_can,246899,1,spoof,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,13.086700439453125,-35.083274841308594
road,cmf_can,124460,0,normal,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,29.81222152709961,-35.81652069091797
road,cmf_can,119719,0,normal,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,28.049514770507812,-43.51744079589844
road,cmf_can,243156,1,spoof,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,-30.891508102416992,-26.159862518310547
road,cmf_can,253015,1,spoof,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,-31.554931640625,-50.82278823852539
road,cmf_can,251158,1,masquerade,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,-33.33840560913086,-37.95940017700195
road,cmf_can,252541,1,masquerade,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,-35.46499252319336,-41.21348571777344
road,cmf_can,252531,1,masquerade,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,-34.65971755981445,-41.37234878540039
road,cmf_can,47192,0,normal,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,8.190763473510742,-32.616146087646484
road,cmf_can,249284,1,spoof,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,-36.620811462402344,-19.024944305419922
road,cmf_can,151558,0,normal,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,-8.827155113220215,-48.6895866394043
road,cmf_can,245135,1,spoof,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,32.71043014526367,-44.82878112792969
road,cmf_can,226678,0,normal,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,1.5220592021942139,-42.700626373291016
road,cmf_can,243191,1,spoof,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,-33.12332534790039,-25.8542537689209
road,cmf_can,241260,0,normal,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,-7.64142370223999,-46.53911590576172
road,cmf_can,26896,0,normal,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,1.2247111797332764,-27.4853572845459
road,cmf_can,239919,0,normal,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,5.804986476898193,-46.93338394165039
road,cmf_can,140395,0,normal,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,30.225811004638672,-35.50422286987305
road,cmf_can,78746,0,normal,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,8.286798477172852,-43.09846115112305
road,cmf_can,244982,1,spoof,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,-41.87434005737305,-31.408903121948242
road,cmf_can,249582,1,spoof,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,37.61128616333008,-41.543312072753906
road,cmf_can,237420,0,normal,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,7.375485420227051,-44.31803512573242
road,cmf_can,249528,1,spoof,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,-42.80281448364258,-32.8582763671875
road,cmf_can,151358,0,normal,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,-5.919362545013428,-46.736427307128906
road,cmf_can,70352,0,normal,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,31.96941566467285,-49.21391677856445
road,cmf_can,249403,1,spoof,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,-35.364078521728516,-22.5747127532959
road,cmf_can,247095,1,spoof,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,32.92055892944336,-28.03494644165039
road,cmf_can,246890,1,spoof,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,11.328575134277344,-38.117740631103516
road,cmf_can,243112,1,spoof,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,-32.47759246826172,-27.457487106323242
road,cmf_can,251167,1,masquerade,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,-36.824951171875,-39.50650405883789
road,cmf_can,270181,0,normal,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,5.0395402908325195,-26.906890869140625
road,cmf_can,138338,0,normal,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,28.932138442993164,-44.805625915527344
road,cmf_can,243261,1,spoof,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,-32.82355499267578,-26.84910774230957
road,cmf_can,269108,1,spoof,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,-51.86083221435547,-15.355149269104004
road,cmf_can,227013,0,normal,unknown,/home/lqa/VIDS/results/cmf_embeddings/road_cmf_can_embedding_sample.npy,-3.1723005771636963,-43.39677429199219
